"id","userid","t","component","action","target","objectid","objecttable","courseid","relateduserid","extra_info","crud","assignment_id"
164895907,88802,1573596966,core,viewed,course,,,2060,,N;,r,
164896713,88802,1573597121,core,viewed,course,,,2060,,N;,r,
164896805,88802,1573597139,core,viewed,course,,,2060,,N;,r,
164914461,88802,1573600072,core,viewed,course,,,2060,,N;,r,
164917093,88802,1573600487,core,viewed,course,,,2060,,N;,r,
165066270,88802,1573654584,core,viewed,course,,,2060,,N;,r,
165066373,88802,1573654608,core,viewed,course,,,2060,,N;,r,
165066434,88802,1573654624,core,viewed,course,,,2060,,N;,r,
165069027,88802,1573654733,core,viewed,course,,,2060,,N;,r,
165069180,88802,1573654775,core,viewed,course,,,2060,,N;,r,
165351110,88802,1573741350,core,viewed,course,,,2060,,N;,r,
165351129,88802,1573741359,core,viewed,course,,,2060,,N;,r,
165351217,88802,1573741368,core,viewed,course,,,2060,,N;,r,
165351531,88802,1573741459,core,viewed,course,,,2060,,N;,r,
165351800,88802,1573741539,core,viewed,course,,,2060,,N;,r,
166197819,88802,1574189887,core,viewed,course,,,2060,,N;,r,
166197887,88802,1574189908,core,viewed,course,,,2060,,N;,r,
166198116,88802,1574189964,core,viewed,course,,,2060,,N;,r,
166198475,88802,1574190036,core,viewed,course,,,2060,,N;,r,
166198530,88802,1574190047,core,viewed,course,,,2060,,N;,r,
166198570,88802,1574190056,core,viewed,course,,,2060,,N;,r,
166205881,88802,1574191835,core,viewed,course,,,2060,,N;,r,
167268792,88802,1574708721,core,viewed,course,,,2060,,N;,r,
167268840,88802,1574708741,core,viewed,course,,,2060,,N;,r,
167268937,88802,1574708756,core,viewed,course,,,2060,,N;,r,
167268968,88802,1574708769,core,viewed,course,,,2060,,N;,r,
167269235,88802,1574708857,core,viewed,course,,,2060,,N;,r,
167269278,88802,1574708873,core,viewed,course,,,2060,,N;,r,
167269336,88802,1574708890,core,viewed,course,,,2060,,N;,r,
167271309,88802,1574709567,core,viewed,course,,,2060,,N;,r,
167271351,88802,1574709580,core,viewed,course,,,2060,,N;,r,
168397272,88802,1575297758,core,viewed,course,,,2060,,N;,r,
168397303,88802,1575297776,core,viewed,course,,,2060,,N;,r,
168397331,88802,1575297789,core,viewed,course,,,2060,,N;,r,
168397359,88802,1575297802,core,viewed,course,,,2060,,N;,r,
168567459,88802,1575381209,core,viewed,course,,,2060,,N;,r,
168567583,88802,1575381247,core,viewed,course,,,2060,,N;,r,
168771296,88802,1575461900,core,viewed,course,,,2060,,N;,r,
168771352,88802,1575461935,core,viewed,course,,,2060,,N;,r,
168771380,88802,1575461952,core,viewed,course,,,2060,,N;,r,
168771982,88802,1575462250,core,viewed,course,,,2060,,N;,r,
168772746,88802,1575462600,core,viewed,course,,,2060,,N;,r,
169612056,88802,1575987495,core,viewed,course,,,2060,,N;,r,
169612101,88802,1575987522,core,viewed,course,,,2060,,N;,r,
169612136,88802,1575987537,core,viewed,course,,,2060,,N;,r,
169612179,88802,1575987552,core,viewed,course,,,2060,,N;,r,
169612214,88802,1575987564,core,viewed,course,,,2060,,N;,r,
169612252,88802,1575987584,core,viewed,course,,,2060,,N;,r,
169648447,88802,1576001559,core,viewed,course,,,2060,,N;,r,
169648500,88802,1576001582,core,viewed,course,,,2060,,N;,r,
169648715,88802,1576001648,core,viewed,course,,,2060,,N;,r,
169648748,88802,1576001660,core,viewed,course,,,2060,,N;,r,
169648766,88802,1576001669,core,viewed,course,,,2060,,N;,r,
169648819,88802,1576001688,core,viewed,course,,,2060,,N;,r,
169648914,88802,1576001719,core,viewed,course,,,2060,,N;,r,
169649000,88802,1576001749,core,viewed,course,,,2060,,N;,r,
169649072,88802,1576001769,core,viewed,course,,,2060,,N;,r,
169612077,88802,1575987507,mod_resource,viewed,course_module,5846,resource,2060,,N;,r,
168771418,88802,1575461976,mod_quiz,started,attempt,2420191,quiz_attempts,2060,88802,N;,c,12838
164895978,88802,1573596979,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
165351140,88802,1573741364,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
166198515,88802,1574190043,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
167268942,88802,1574708762,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
168771396,88802,1575461961,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
168772728,88802,1575462591,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169612086,88802,1575987515,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169648546,88802,1576001598,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169649043,88802,1576001762,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169695150,88802,1576014157,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169695896,88802,1576014353,mod_quiz,submitted,attempt,2420191,quiz_attempts,2060,88802,"a:2:{s:11:""submitterid"";s:5:""88802"";s:6:""quizid"";s:5:""12838"";}",u,12838
165351652,88802,1573741475,mod_quiz,started,attempt,2368068,quiz_attempts,2060,88802,N;,c,12841
164896749,88802,1573597128,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
164917121,88802,1573600492,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
165066300,88802,1573654591,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
165066408,88802,1573654616,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
165351120,88802,1573741354,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
165351630,88802,1573741468,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166197898,88802,1574189911,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166198548,88802,1574190051,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166205901,88802,1574191839,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
167268826,88802,1574708736,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
167269261,88802,1574708869,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
167271341,88802,1574709575,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
168397290,88802,1575297770,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
169648724,88802,1576001652,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166206135,88802,1574191910,mod_quiz,submitted,attempt,2368068,quiz_attempts,2060,88802,"a:2:{s:11:""submitterid"";s:5:""88802"";s:6:""quizid"";s:5:""12841"";}",u,12841
167269297,88802,1574708879,mod_quiz,started,attempt,2395467,quiz_attempts,2060,88802,N;,c,12842
166197848,88802,1574189897,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
166205867,88802,1574191830,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167268899,88802,1574708744,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167269288,88802,1574708876,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167271407,88802,1574709584,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
168397311,88802,1575297780,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
169612193,88802,1575987556,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
169648753,88802,1576001664,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
169648977,88802,1576001741,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167271474,88802,1574709605,mod_quiz,submitted,attempt,2395467,quiz_attempts,2060,88802,"a:2:{s:11:""submitterid"";s:5:""88802"";s:6:""quizid"";s:5:""12842"";}",u,12842
168397342,88802,1575297794,mod_quiz,viewed,course_module,12843,quiz,2060,,N;,r,12843
169612156,88802,1575987542,mod_quiz,viewed,course_module,12843,quiz,2060,,N;,r,12843
169648791,88802,1576001677,mod_quiz,viewed,course_module,12843,quiz,2060,,N;,r,12843
168567527,88802,1575381230,mod_quiz,started,attempt,2416396,quiz_attempts,2060,88802,N;,c,12844
168567499,88802,1575381222,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
168569243,88802,1575381982,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
168771313,88802,1575461907,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
169612113,88802,1575987526,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
169612232,88802,1575987574,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
169648458,88802,1576001564,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
169648867,88802,1576001702,mod_quiz,viewed,course_module,12844,quiz,2060,,N;,r,12844
168569314,88802,1575382006,mod_quiz,submitted,attempt,2416396,quiz_attempts,2060,88802,"a:2:{s:11:""submitterid"";s:5:""88802"";s:6:""quizid"";s:5:""12844"";}",u,12844
165027751,121552,1573643341,core,viewed,course,,,2060,,N;,r,
165308797,121552,1573725386,core,viewed,course,,,2060,,N;,r,
165839189,121552,1574073633,core,viewed,course,,,2060,,N;,r,
166084229,121552,1574156832,core,viewed,course,,,2060,,N;,r,
166084287,121552,1574156879,core,viewed,course,,,2060,,N;,r,
166084305,121552,1574156891,core,viewed,course,,,2060,,N;,r,
166084972,121552,1574157529,core,viewed,course,,,2060,,N;,r,
166085043,121552,1574157597,core,viewed,course,,,2060,,N;,r,
166626794,121552,1574331551,core,viewed,course,,,2060,,N;,r,
166626928,121552,1574331681,core,viewed,course,,,2060,,N;,r,
166834987,121552,1574419026,core,viewed,course,,,2060,,N;,r,
166835064,121552,1574419085,core,viewed,course,,,2060,,N;,r,
166836501,121552,1574420269,core,viewed,course,,,2060,,N;,r,
166836769,121552,1574420486,core,viewed,course,,,2060,,N;,r,
167184877,121552,1574674969,core,viewed,course,,,2060,,N;,r,
167184885,121552,1574674978,core,viewed,course,,,2060,,N;,r,
167185007,121552,1574675094,core,viewed,course,,,2060,,N;,r,
167185022,121552,1574675112,core,viewed,course,,,2060,,N;,r,
167185024,121552,1574675113,core,viewed,course,,,2060,,N;,r,
167395937,121552,1574760800,core,viewed,course,,,2060,,N;,r,
167395953,121552,1574760815,core,viewed,course,,,2060,,N;,r,
167395977,121552,1574760832,core,viewed,course,,,2060,,N;,r,
167910232,121552,1574935319,core,viewed,course,,,2060,,N;,r,
167910248,121552,1574935346,core,viewed,course,,,2060,,N;,r,
167910255,121552,1574935363,core,viewed,course,,,2060,,N;,r,
167914627,121552,1574939659,core,viewed,course,,,2060,,N;,r,
168541304,121552,1575365188,core,viewed,course,,,2060,,N;,r,
168541377,121552,1575365237,core,viewed,course,,,2060,,N;,r,
168541419,121552,1575365342,core,viewed,course,,,2060,,N;,r,
168541593,121552,1575365605,core,viewed,course,,,2060,,N;,r,
168966640,121552,1575538618,core,viewed,course,,,2060,,N;,r,
168967367,121552,1575539616,core,viewed,course,,,2060,,N;,r,
168968964,121552,1575541355,core,viewed,course,,,2060,,N;,r,
169142170,121552,1575625022,core,viewed,course,,,2060,,N;,r,
169142180,121552,1575625034,core,viewed,course,,,2060,,N;,r,
169142460,121552,1575625705,core,viewed,course,,,2060,,N;,r,
169146205,121552,1575630794,core,viewed,course,,,2060,,N;,r,
169578887,121552,1575971184,core,viewed,course,,,2060,,N;,r,
169578892,121552,1575971191,core,viewed,course,,,2060,,N;,r,
169578897,121552,1575971197,core,viewed,course,,,2060,,N;,r,
169578908,121552,1575971212,core,viewed,course,,,2060,,N;,r,
169578934,121552,1575971232,core,viewed,course,,,2060,,N;,r,
169578940,121552,1575971240,core,viewed,course,,,2060,,N;,r,
169578944,121552,1575971248,core,viewed,course,,,2060,,N;,r,
165027790,121552,1573643359,mod_resource,viewed,course_module,5846,resource,2060,,N;,r,
169142196,121552,1575625070,mod_quiz,started,attempt,2427629,quiz_attempts,2060,121552,N;,c,12838
169142185,121552,1575625038,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169146209,121552,1575630797,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169578942,121552,1575971243,mod_quiz,viewed,course_module,12838,quiz,2060,,N;,r,12838
169146162,121552,1575630751,mod_quiz,submitted,attempt,2427629,quiz_attempts,2060,121552,"a:2:{s:11:""submitterid"";s:6:""121552"";s:6:""quizid"";s:5:""12838"";}",u,12838
165308800,121552,1573725391,mod_page,viewed,course_module,15835,page,2060,,N;,r,
169142463,121552,1575625717,mod_page,viewed,course_module,15835,page,2060,,N;,r,
165028648,121552,1573643737,mod_folder,viewed,course_module,1298,folder,2060,,N;,r,
165839210,121552,1574073648,mod_quiz,started,attempt,2374420,quiz_attempts,2060,121552,N;,c,12841
165839200,121552,1574073642,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166084272,121552,1574156867,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166626803,121552,1574331558,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
166835059,121552,1574419081,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
169578890,121552,1575971188,mod_quiz,viewed,course_module,12841,quiz,2060,,N;,r,12841
165841013,121552,1574074931,mod_quiz,submitted,attempt,2374420,quiz_attempts,2060,121552,"a:2:{s:11:""submitterid"";s:6:""121552"";s:6:""quizid"";s:5:""12841"";}",u,12841
166084994,121552,1574157541,mod_forum,viewed,course_module,26778,forum,2060,,N;,r,
166084308,121552,1574156894,mod_page,viewed,course_module,15836,page,2060,,N;,r,
169142669,121552,1575626038,mod_page,viewed,course_module,15836,page,2060,,N;,r,
166084295,121552,1574156886,mod_folder,viewed,course_module,1299,folder,2060,,N;,r,
166626943,121552,1574331688,mod_folder,viewed,course_module,1299,folder,2060,,N;,r,
167184939,121552,1574674987,mod_folder,viewed,course_module,1299,folder,2060,,N;,r,
166084860,121552,1574157485,mod_forum,viewed,course_module,26781,forum,2060,,N;,r,
166084917,121552,1574157496,mod_forum,viewed,discussion,101945,forum_discussions,2060,,N;,r,
166835086,121552,1574419107,mod_quiz,started,attempt,2389914,quiz_attempts,2060,121552,N;,c,12842
166835067,121552,1574419088,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
166836508,121552,1574420278,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167185013,121552,1574675099,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167395966,121552,1574760823,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
167910239,121552,1574935326,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
169578893,121552,1575971194,mod_quiz,viewed,course_module,12842,quiz,2060,,N;,r,12842
166836494,121552,1574420261,mod_quiz,submitted,attempt,2389914,quiz_attempts,2060,121552,"a:2:{s:11:""submitterid"";s:6:""121552"";s:6:""quizid"";s:5:""12842"";}",u,12842
167395979,121552,1574760836,mod_page,viewed,course_module,15838,page,2060,,N;,r,
169142697,121552,1575626091,mod_page,viewed,course_module,15838,page,2060,,N;,r,
167395949,121552,1574760811,mod_folder,viewed,course_module,1300,folder,2060,,N;,r,
167910252,121552,1574935356,mod_folder,viewed,course_module,1300,folder,2060,,N;,r,
168541385,121552,1575365257,mod_folder,viewed,course_module,1300,folder,2060,,N;,r,
167910300,121552,1574935473,mod_quiz,started,attempt,2406143,quiz_attempts,2060,121552,N;,c,12843
